seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID	modalTSS
1411201	chr11	82612633	82612716	-	19	69	0.38	84	8.73	-1.19	0.25	NA	82612683
1411323	chr11	82708291	82708472	-	48	166	0.13	182	19.4	-2.84	0.13	NA	82708412
1411404	chr11	82782784	82782998	-	61	515	0.19	215	-6.84	-2.48	0.24	NA	82782871
1411461	chr11	82904676	82904728	-	16	73	0.29	53	-1.25	-1.35	0.16	NA	82904705
1411530	chr11	82991220	82991332	-	21	164	0.82	113	-9.87	0.59	0.68	NA	82991263
1411539	chr11	82996626	82996855	-	58	173	0.12	230	11.71	-3.22	0.11	NA	82996761
1411540	chr11	82996905	82997077	-	70	3596	0.42	173	35.74	-0.83	0.54	NA	82997021
1411546	chr11	82997373	82997459	-	35	232	0.32	87	-10.35	-1.55	0.31	NA	82997406
1411737	chr11	84732012	84732042	-	9	100	0.81	31	3.55	0.8	0.62	NA	84732029
1411745	chr11	84732796	84732804	-	5	96	0.94	9	3.7	1.54	0.8	NA	84732803
1411912	chr11	85339362	85339461	-	25	52	0.15	100	5.13	-2.31	0.07	NA	85339425
1411941	chr11	85371167	85371319	-	29	68	0.15	153	-12.09	-2.56	0.06	NA	85371240
1411942	chr11	85371362	85371469	-	16	60	0.43	108	-30.62	-0.91	0.27	NA	85371363
1411984	chr11	85374830	85374965	-	40	115	0.16	136	19.81	-2.66	0.13	NA	85374945
1411987	chr11	85375117	85375385	-	65	123	0.07	269	-4.24	-3.65	0.06	NA	85375259
1411989	chr11	85375475	85375579	-	25	69	0.13	105	-18.26	-2.2	0.1	NA	85375484
1411990	chr11	85375605	85375815	-	45	70	0.11	211	-8.99	-3.14	0.06	NA	85375639
1411993	chr11	85376045	85376211	-	82	1645	0.23	167	23.58	-2.35	0.32	NA	85376154
1412485	chr11	85779996	85780220	-	98	1714	0.2	225	27.16	-2.24	0.36	NA	85780144
1412842	chr11	88026927	88026969	-	17	63	0.59	43	1.48	-0.55	0.38	NA	88026947
1412844	chr11	88027059	88027131	-	11	141	0.49	73	29.57	-0.02	0.41	NA	88027126
1412845	chr11	88027171	88027298	-	30	68	0.15	128	-11.04	-2.44	0.1	NA	88027172
1412928	chr11	88042331	88042491	-	35	66	0.09	161	-0.82	-2.85	0.06	NA	88042391
1412943	chr11	88045581	88045720	-	54	197	0.1	140	-9.44	-3.02	0.13	NA	88045647
1413018	chr11	88068121	88068253	-	33	65	0.15	133	19.63	-2.7	0.07	NA	88068226
1413034	chr11	88070766	88070976	-	125	37929	0.86	211	32.67	0.83	0.83	NA	88070904
1413057	chr11	88092716	88092889	-	27	75	0.12	174	-7.95	-2.32	0.09	NA	88092835
1413069	chr11	88141857	88141864	-	7	218	0.63	8	0.26	0.47	0.46	NA	88141860
1413072	chr11	88142163	88142165	-	3	139	0.81	3	-0.14	1.21	0.5	NA	88142163
1413249	chr11	89935554	89935626	-	23	96	0.27	73	-25.38	-1.76	0.17	NA	89935554
1413256	chr11	89936548	89936555	-	6	63	0.83	8	-1.48	1.04	0.63	NA	89936549
1413299	chr11	89942399	89942421	-	10	117	0.43	23	-4.91	-0.28	0.31	NA	89942403
1413366	chr11	89956183	89956287	-	70	2629	0.3	105	-7.95	-1.63	0.41	NA	89956217
1413596	chr11	92765225	92765225	-	1	117	1	1	0	2	1	NA	92765224
1413676	chr11	92931033	92931179	-	56	308	0.24	147	17.31	-2.59	0.21	NA	92931141
1413914	chr11	93263418	93263528	-	51	328	0.2	111	10.16	-2.56	0.2	NA	93263472
1413956	chr11	93276475	93276563	-	38	266	0.18	89	13.45	-2.27	0.19	NA	93276557
1414055	chr11	93469304	93469372	-	8	77	0.81	69	-27.82	0.78	0.59	NA	93469305
1414056	chr11	93469408	93469470	-	13	99	0.79	63	24.19	0.56	0.61	NA	93469467
1414062	chr11	93469857	93469919	-	16	62	0.42	63	7.76	-0.82	0.3	NA	93469909
1414077	chr11	93471396	93471481	-	27	56	0.27	86	-12.32	-2.15	0.13	NA	93471397
1414078	chr11	93471521	93471607	-	16	158	0.63	87	36.15	-0.13	0.47	NA	93471603
1414104	chr11	93473929	93473948	-	5	59	0.66	20	-8.08	0.58	0.39	NA	93473929
1414108	chr11	93474487	93474563	-	20	66	0.41	77	-2.14	-1.35	0.23	NA	93474514
1414109	chr11	93474589	93474725	-	82	499	0.17	137	-3.25	-3.15	0.19	NA	93474661
1414184	chr11	93862568	93862697	-	29	95	0.14	130	-17.25	-2.2	0.14	NA	93862601
1414293	chr11	94192573	94192751	-	29	72	0.17	179	25.1	-2.27	0.12	NA	94192677
1414370	chr11	94226949	94227076	-	67	905	0.17	128	-16.06	-2.47	0.26	NA	94226976
1414409	chr11	94317423	94317470	-	10	66	0.45	48	-10.5	-0.14	0.36	NA	94317435
1414489	chr11	94705250	94705337	-	37	125	0.17	88	3.56	-2.61	0.12	NA	94705293
1414499	chr11	94706704	94706819	-	74	23087	0.45	116	-32.66	-1.1	0.5	NA	94706720
1414542	chr11	94826840	94826921	-	18	56	0.2	82	4.36	-1.58	0.14	NA	94826893
1414762	chr11	95522649	95522832	-	68	248	0.13	184	-49.22	-3.15	0.15	NA	95522665
1414764	chr11	95522914	95522983	-	30	85	0.16	70	12.19	-2.4	0.1	NA	95522974
1414768	chr11	95523516	95523600	-	38	219	0.14	85	-4.64	-2.48	0.15	NA	95523543
1414804	chr11	95566598	95566606	-	9	87	0.34	9	-0.75	-0.56	0.19	NA	95566598
1414818	chr11	95567779	95567834	-	7	62	0.71	56	-24.11	0.6	0.5	NA	95567778
1414945	chr11	95657098	95657283	-	48	500	0.29	186	69.92	-1.64	0.35	NA	95657264
1415136	chr11	95825534	95825696	-	28	75	0.21	163	-35.79	-2.23	0.12	NA	95825533
1415500	chr11	95982462	95982747	-	37	66	0.21	286	-0.52	-2.64	0.11	NA	95982607
1415804	chr11	96074637	96074718	-	19	88	0.28	82	-14.66	-1.49	0.18	NA	96074676
1415806	chr11	96074849	96075019	-	83	1133	0.22	171	29.98	-2.27	0.33	NA	96074990
1415808	chr11	96075088	96075219	-	32	98	0.16	132	6.04	-2.32	0.14	NA	96075114
1415824	chr11	96076182	96076436	-	61	260	0.18	255	70.89	-2.78	0.19	NA	96076400
1415831	chr11	96086163	96086305	-	22	91	0.22	143	21.78	-1.85	0.14	NA	96086276
1415903	chr11	96118721	96118757	-	7	60	0.7	37	14.98	0.55	0.49	NA	96118754
1415935	chr11	96122715	96122808	-	26	88	0.12	94	2.52	-2.15	0.12	NA	96122759
1415937	chr11	96122913	96123119	-	93	1303	0.19	207	33.86	-3.01	0.23	NA	96123029
1416191	chr11	99792921	99792923	-	3	650	0.74	3	0.53	1	0.37	NA	99792922
1416329	chr11	102008506	102008509	-	4	1284	1	4	0.5	1.96	0.98	NA	102008507
1416441	chr11	102269315	102269490	-	37	69	0.1	176	9.56	-2.91	0.06	NA	102269430
1416453	chr11	102272725	102272947	-	51	119	0.12	223	-0.3	-3.14	0.09	NA	102272793
1416549	chr11	102319542	102319628	-	20	60	0.22	87	-0.65	-1.77	0.13	NA	102319600
1416563	chr11	102321009	102321089	-	24	86	0.29	81	-5.7	-1.76	0.18	NA	102321046
1416568	chr11	102322576	102322668	-	15	61	0.33	93	-21.34	-0.89	0.26	NA	102322595
1416574	chr11	102323283	102323626	-	164	3444	0.08	344	17.71	-3.79	0.21	NA	102323456
1416575	chr11	102323677	102323816	-	39	303	0.19	140	13.39	-2.22	0.2	NA	102323757
1416591	chr11	102401423	102401598	-	43	1002	0.62	176	-25.57	-0.5	0.54	NA	102401478
1416636	chr11	102479142	102479253	-	20	68	0.19	112	1.62	-1.71	0.14	NA	102479205
1416695	chr11	102710196	102710239	-	7	54	0.31	44	-2.13	-0.34	0.17	NA	102710219
1416784	chr11	102932981	102933028	-	13	71	0.55	48	0.89	-0.44	0.34	NA	102933002
1416876	chr11	102962723	102962954	-	125	5690	0.15	232	55.06	-2.58	0.34	NA	102962903
1416905	chr11	103280412	103280461	-	20	200	0.23	50	-6.42	-1.42	0.21	NA	103280439
1416994	chr11	104552925	104552926	-	2	52	0.9	2	0.4	1.54	0.54	NA	104552925
1417067	chr11	104839269	104839344	-	31	240	0.21	76	-3.71	-1.96	0.2	NA	104839296
1417073	chr11	104896283	104896332	-	18	282	0.23	50	17.16	-1.41	0.18	NA	104896321
1417074	chr11	104896388	104896548	-	31	70	0.19	161	-6.34	-2.44	0.1	NA	104896405
1417079	chr11	104896978	104897088	-	36	329	0.58	111	12.48	-0.62	0.49	NA	104897049
1417081	chr11	104897584	104897589	-	6	71	0.42	6	-0.81	-0.11	0.18	NA	104897585
1417085	chr11	104899882	104899999	-	19	58	0.34	118	15.05	-1.5	0.18	NA	104899980
1417104	chr11	104905820	104905904	-	43	3393	0.52	85	6.87	-0.78	0.49	NA	104905870
1417122	chr11	104916016	104916100	-	30	725	0.2	85	-6.07	-1.6	0.27	NA	104916047
1417129	chr11	104942259	104942262	-	3	69	0.75	4	-0.96	1.03	0.39	NA	104942258
1417135	chr11	104972151	104972174	-	12	167	0.75	24	-7.77	0.42	0.56	NA	104972152
1417288	chr11	105892895	105893015	-	46	340	0.19	121	-2.43	-2.33	0.22	NA	105892951
1417321	chr11	105948049	105948103	-	20	112	0.25	55	-3.29	-1.31	0.23	NA	105948074
1417642	chr11	107275002	107275028	-	13	192	0.54	27	-7.94	-0.23	0.4	NA	107275001
1417706	chr11	107326420	107326531	-	18	96	0.53	112	-22.89	-0.64	0.37	NA	107326447
1417717	chr11	107328437	107328613	-	69	941	0.22	177	18.8	-2.2	0.31	NA	107328551
1417795	chr11	107436401	107436478	-	24	65	0.26	78	13.87	-1.88	0.15	NA	107436461
1417841	chr11	107663335	107663407	-	14	51	0.45	73	3.82	-0.69	0.29	NA	107663375
1417934	chr11	107711535	107711609	-	25	95	0.15	75	-2.53	-1.95	0.15	NA	107711553
1417993	chr11	107729248	107729378	-	29	74	0.23	131	-9.31	-2.23	0.13	NA	107729296
1417994	chr11	107729412	107729676	-	94	2180	0.56	265	-20.93	-1.18	0.51	NA	107729513
1417997	chr11	107729875	107729983	-	23	130	0.27	109	-11.34	-1.54	0.22	NA	107729914
1418186	chr11	108093279	108093486	-	87	1476	0.35	208	-18.2	-2.22	0.34	NA	108093365
1418249	chr11	108338196	108338291	-	24	138	0.21	96	1.18	-1.54	0.23	NA	108338258
1418303	chr11	108369091	108369357	-	59	193	0.09	267	-47.45	-3.1	0.13	NA	108369129
1418505	chr11	108464190	108464552	-	137	2135	0.23	363	-10.43	-2.83	0.32	NA	108464362
1418757	chr11	110118427	110118559	-	26	154	0.69	133	48.1	-0.18	0.54	NA	110118556
1418767	chr11	110124670	110124829	-	24	357	0.5	160	-46.71	-0.34	0.49	NA	110124698
1418778	chr11	110128517	110128557	-	17	92	0.23	41	-5.67	-1.28	0.2	NA	110128518
1418779	chr11	110128583	110128640	-	14	110	0.56	58	15.49	-0.33	0.39	NA	110128636
1418803	chr11	110135523	110135601	-	12	58	0.62	79	8.86	-0.19	0.39	NA	110135572
1418856	chr11	110167213	110167404	-	66	421	0.19	192	27.68	-2.66	0.23	NA	110167368
1418897	chr11	110640242	110640242	-	1	77	1	1	0	2	1	NA	110640241
1418987	chr11	111223899	111224477	-	206	599	0.04	579	-46.08	-5.04	0.08	NA	111224130
1418989	chr11	111224549	111224579	-	13	56	0.21	31	2.2	-1.33	0.1	NA	111224571
1418993	chr11	111224813	111225000	-	40	75	0.17	188	17.23	-2.72	0.11	NA	111224982
1419029	chr11	111228199	111228280	-	16	54	0.56	82	-16.31	-0.63	0.34	NA	111228220
1419034	chr11	111229276	111229564	-	52	488	0.74	289	77.96	0.07	0.66	NA	111229511
1419131	chr11	111249840	111250508	-	303	22867	0.8	669	-158.97	0.1	0.77	NA	111250000
1419366	chr11	111637034	111637150	-	54	3576	0.31	117	16.08	-1.54	0.38	NA	111637113
1419490	chr11	111741912	111742052	-	35	162	0.3	141	36.04	-1.88	0.24	NA	111742024
1419493	chr11	111742201	111742316	-	46	525	0.15	116	8.62	-2.1	0.26	NA	111742264
1419520	chr11	111749866	111749928	-	32	387	0.41	63	-7.02	-1.19	0.36	NA	111749887
1419555	chr11	111900520	111900526	-	5	108	0.64	7	-1.96	0.51	0.36	NA	111900520
1419596	chr11	111955897	111955967	-	29	588	0.44	71	7.94	-1.05	0.37	NA	111955953
1419603	chr11	111957433	111957551	-	51	897	0.27	119	-15.37	-1.64	0.36	NA	111957480
1419919	chr11	113644372	113644505	-	80	1736	0.27	134	-13.19	-2.52	0.29	NA	113644414
1420069	chr11	113746205	113746324	-	58	414	0.24	120	2.31	-2.47	0.24	NA	113746258
1420147	chr11	114271169	114271263	-	29	205	0.31	95	2.45	-1.15	0.35	NA	114271224
1420334	chr11	115822056	115822060	-	4	114	0.96	5	-0.94	1.73	0.86	NA	115822056
1420408	chr11	116250613	116250613	-	1	120	1	1	0	2	1	NA	116250612
1420527	chr11	116643681	116643734	-	19	104	0.33	54	-4.49	-0.97	0.3	NA	116643695
1420584	chr11	116658691	116658777	-	55	3163	0.21	87	5.92	-1.92	0.32	NA	116658745
1421091	chr11	116906487	116906491	-	4	1018	0.52	5	-1.47	0.97	0.48	NA	116906487
1421262	chr11	116969079	116969192	-	35	501	0.3	114	17.37	-1.52	0.31	NA	116969151
1421356	chr11	117082867	117082899	-	12	97	0.67	33	1.72	0.19	0.5	NA	117082887
1421440	chr11	117102761	117102820	-	41	572	0.15	60	-3.26	-2.22	0.21	NA	117102774
1421443	chr11	117103193	117103354	-	36	97	0.14	162	-21.45	-2.53	0.12	NA	117103251
1421645	chr11	117698748	117698860	-	18	77	0.56	113	-2.58	-0.64	0.37	NA	117698804
1421823	chr11	118087648	118087820	-	50	189	0.1	173	-15.47	-3.14	0.09	NA	118087727
1421887	chr11	118112271	118112391	-	31	94	0.17	121	10.96	-2.32	0.13	NA	118112362
1421909	chr11	118122995	118123124	-	64	797	0.33	130	1.52	-2	0.33	NA	118123064
1422047	chr11	118436590	118436812	-	107	1235	0.13	223	20.37	-3.28	0.22	NA	118436740
1422089	chr11	118618536	118618727	-	56	3505	0.36	192	-19.72	-0.69	0.54	NA	118618610
1422090	chr11	118618763	118619037	-	108	470	0.11	275	-0.1	-3.62	0.17	NA	118618985
1422091	chr11	118619098	118619364	-	31	53	0.09	267	-14.09	-2.73	0.04	NA	118619229
1422092	chr11	118619393	118619445	-	20	105	0.21	53	0.98	-1.64	0.16	NA	118619416
1422123	chr11	118622294	118622386	-	25	82	0.41	93	-19.39	-1.49	0.25	NA	118622313
1422124	chr11	118622431	118622596	-	31	138	0.38	166	5.04	-1.5	0.29	NA	118622511
1422125	chr11	118622642	118622811	-	40	107	0.36	170	-2.12	-2.16	0.22	NA	118622751
1422217	chr11	118661597	118661729	-	72	2486	0.22	133	4.3	-2.2	0.32	NA	118661678
1422219	chr11	118661786	118661984	-	112	5749	0.16	199	-13.03	-2.69	0.31	NA	118661864
1422223	chr11	118662374	118662498	-	44	258	0.25	125	1.21	-1.91	0.28	NA	118662453
1422237	chr11	118704632	118704652	-	8	221	0.35	21	4.49	-0.36	0.21	NA	118704645
1422358	chr11	118868691	118868744	-	16	62	0.45	54	-6.97	-0.98	0.26	NA	118868712
1422374	chr11	118886447	118886470	-	13	84	0.23	24	1.73	-1.2	0.13	NA	118886457
1422375	chr11	118886507	118886671	-	45	1744	0.32	165	19.84	-0.91	0.47	NA	118886619
1422389	chr11	118888097	118888261	-	77	2471	0.34	165	33.6	-1.41	0.46	NA	118888230
1422396	chr11	118888635	118888854	-	98	1315	0.23	220	-11.47	-2.82	0.27	NA	118888721
1422399	chr11	118888992	118889224	-	116	15293	0.12	233	-39.55	-2.59	0.33	NA	118889071
1422400	chr11	118889257	118889405	-	59	700	0.39	149	18.38	-1.51	0.4	NA	118889347
1422453	chr11	118901569	118901640	-	27	398	0.31	72	-16.62	-1.23	0.32	NA	118901578
1422459	chr11	118915252	118915441	-	60	123	0.08	190	-18.76	-3.54	0.06	NA	118915257
1422460	chr11	118915466	118915741	-	81	154	0.07	276	-10.45	-3.95	0.06	NA	118915585
1422463	chr11	118915916	118916076	-	35	51	0.08	161	-23.63	-2.92	0.04	NA	118915961
1422471	chr11	118917293	118917353	-	14	160	0.52	61	-20.53	-0.13	0.44	NA	118917294
1422489	chr11	118919757	118919908	-	21	51	0.43	152	24.32	-1.29	0.25	NA	118919869
1422509	chr11	118922550	118922674	-	44	228	0.31	125	23.11	-2.21	0.23	NA	118922641
1422545	chr11	118927739	118927961	-	105	1777	0.22	223	18.18	-2.86	0.28	NA	118927853
1422581	chr11	118965882	118965998	-	30	83	0.2	117	4.34	-2.12	0.16	NA	118965903
1422582	chr11	118966039	118966182	-	40	7813	0.66	144	65.88	0.49	0.72	NA	118966175
1422622	chr11	118972043	118972141	-	25	119	0.17	99	17.43	-1.84	0.17	NA	118972089
1422626	chr11	118972474	118972661	-	83	2641	0.4	188	-5.27	-1.47	0.46	NA	118972563
1422764	chr11	119293846	119293986	-	56	1505	0.36	141	-27.27	-1.05	0.48	NA	119293882
1422768	chr11	119323173	119323178	-	4	63	0.7	6	-1.18	0.94	0.47	NA	119323173
1422776	chr11	119377481	119377489	-	5	104	0.88	9	-3.46	1.28	0.69	NA	119377480
1422896	chr11	119599870	119599942	-	36	112	0.16	73	7.71	-2.62	0.11	NA	119599910
1423315	chr11	121322021	121322213	-	32	62	0.19	193	-18.82	-2.55	0.09	NA	121322068
1423322	chr11	121323416	121323758	-	73	349	0.32	343	61.18	-2.48	0.28	NA	121323676
1423425	chr11	121950875	121950875	-	1	88	1	1	0	2	1	NA	121950874
1423552	chr11	122874345	122874357	-	6	487	0.53	13	-4.07	0.56	0.44	NA	122874346
1423578	chr11	122928975	122929212	-	109	708	0.11	238	15.74	-3.58	0.17	NA	122929114
1423580	chr11	122929365	122929428	-	37	351	0.17	64	-11.53	-2.42	0.15	NA	122929374
1423581	chr11	122929453	122929548	-	39	482	0.53	96	12.35	-0.82	0.47	NA	122929525
1423586	chr11	122929768	122929978	-	73	507	0.24	211	15.43	-2.66	0.25	NA	122929870
1423590	chr11	122930185	122930758	-	202	1001	0.07	574	56.93	-4.55	0.15	NA	122930698
1423600	chr11	122931327	122931502	-	64	462	0.33	176	-23.46	-2.27	0.29	NA	122931359
1423605	chr11	122931855	122932059	-	69	526	0.43	205	-10.41	-1.95	0.35	NA	122931962
1423616	chr11	122932792	122932948	-	76	15017	0.53	157	-21.22	-0.1	0.66	NA	122932847
1423618	chr11	122933119	122933208	-	30	117	0.15	90	12.52	-2.19	0.15	NA	122933150
1423823	chr11	123612272	123612419	-	48	146	0.13	148	9.1	-2.78	0.14	NA	123612368
1423855	chr11	124034280	124034280	-	1	82	1	1	0	2	1	NA	124034279
1423912	chr11	124543603	124543668	-	23	95	0.39	66	1.83	-1.48	0.23	NA	124543635
1423996	chr11	124632112	124632223	-	31	275	0.71	112	18.23	0	0.6	NA	124632186
1424125	chr11	124823841	124823969	-	37	159	0.19	129	-11.92	-2.34	0.17	NA	124823887
1424210	chr11	124981440	124981539	-	68	1837	0.17	100	4.31	-2.72	0.22	NA	124981480
1424211	chr11	124981574	124981682	-	29	180	0.25	109	-8.35	-1.69	0.24	NA	124981613
1424333	chr11	125359382	125359497	-	26	114	0.32	116	-41.58	-1.47	0.26	NA	125359384
1424345	chr11	125366049	125366322	-	109	1809	0.26	274	-23.96	-2.79	0.29	NA	125366161
1424376	chr11	125462374	125462511	-	17	53	0.25	138	-32.78	-1.35	0.18	NA	125462403
1424472	chr11	125773055	125773128	-	36	512	0.22	74	16.01	-1.71	0.28	NA	125773114
1424626	chr11	126081473	126081617	-	34	217	0.18	145	0.62	-1.82	0.25	NA	126081541
1424687	chr11	126138628	126138878	-	123	3860	0.28	251	34.53	-2.44	0.36	NA	126138790
1424737	chr11	126225395	126225483	-	26	135	0.3	89	16.08	-1.65	0.22	NA	126225451
1424910	chr11	127810634	127810713	-	17	50	0.38	80	-13.1	-1.07	0.25	NA	127810644
1424924	chr11	127811591	127811708	-	41	1375	0.35	118	50.94	-1.35	0.38	NA	127811705
1424989	chr11	128330650	128331029	-	132	263	0.05	380	-17.39	-4.67	0.05	NA	128330825
1424992	chr11	128331235	128331288	-	23	96	0.16	54	-12.08	-1.85	0.15	NA	128331237
1424997	chr11	128331662	128331741	-	22	240	0.31	80	11.68	-0.92	0.34	NA	128331711
1424998	chr11	128331769	128331831	-	24	296	0.24	63	-9.23	-1.2	0.3	NA	128331786
1425001	chr11	128331962	128332134	-	41	142	0.18	173	7.17	-2.4	0.18	NA	128332056
1425003	chr11	128332344	128332477	-	34	71	0.11	134	15.77	-2.71	0.07	NA	128332361
1425008	chr11	128333433	128333524	-	27	55	0.11	92	-1.66	-2.44	0.07	NA	128333438
1425120	chr11	128391998	128392045	-	21	50	0.24	48	7.18	-1.56	0.19	NA	128392022
1425121	chr11	128392070	128392354	-	161	2645	0.13	285	-0.76	-3.5	0.25	NA	128392193
1425205	chr11	128775895	128775974	-	16	57	0.21	80	-5.5	-1.45	0.14	NA	128775931
1425295	chr11	129594379	129594384	-	6	82	0.46	6	-0.54	0.31	0.35	NA	129594379
1425443	chr11	129765410	129765505	-	53	709	0.26	96	-2.96	-2.2	0.27	NA	129765464
1425460	chr11	129771828	129772018	-	25	53	0.21	191	6.55	-2.08	0.12	NA	129771981
1425548	chr11	129872647	129872770	-	27	97	0.18	124	11.3	-2.02	0.15	NA	129872748
1425558	chr11	129903119	129903173	-	13	251	0.29	55	-17.37	-0.5	0.32	NA	129903131
1425641	chr11	130100647	130100795	-	19	51	0.22	149	25.22	-1.68	0.13	NA	130100794
1425683	chr11	130103767	130103781	-	5	104	0.79	15	1.17	0.91	0.53	NA	130103774
1425817	chr11	130184301	130184349	-	17	59	0.36	49	-0.42	-1.23	0.21	NA	130184329
1425883	chr11	130627275	130627287	-	5	147	0.54	13	4.4	0.81	0.49	NA	130627285
1425927	chr11	130746522	130746571	-	9	62	0.48	50	1.97	-0.23	0.3	NA	130746539
1426058	chr11	130786319	130786408	-	44	174	0.26	90	2.88	-2.38	0.2	NA	130786370
1426652	chr11	134024373	134024380	-	6	68	0.54	8	-1.28	0.28	0.33	NA	134024375
1426805	chr11	134093827	134093941	-	44	511	0.28	115	-17.61	-1.99	0.27	NA	134093861
1426806	chr11	134094422	134094475	-	15	51	0.49	54	-7.21	-0.79	0.29	NA	134094440
1426816	chr11	134118231	134118315	-	12	51	0.31	85	-20.67	-1	0.16	NA	134118254
1426840	chr11	134123182	134123302	-	76	2928	0.16	121	-2.65	-2.36	0.3	NA	134123214
1427136	chr12	498802	498868	+	25	71	0.11	67	-6.51	-2.26	0.08	NA	498813
1427144	chr12	510698	510851	+	58	285	0.21	154	22.81	-2.44	0.24	NA	510801
1427299	chr12	739998	740082	+	17	68	0.28	85	-10.34	-1.18	0.22	NA	740018
1427428	chr12	861710	861914	+	59	484	0.36	205	-47.9	-1.72	0.37	NA	861754
1427496	chr12	872816	873054	+	70	215	0.12	239	-0.27	-3.32	0.13	NA	872847
1427718	chr12	966324	966374	+	16	90	0.58	51	-12.83	-0.43	0.39	NA	966328
1427722	chr12	968448	968608	+	37	85	0.11	161	-35.24	-2.8	0.08	NA	968467
1427847	chr12	994528	994692	+	39	65	0.15	165	-3.25	-2.93	0.07	NA	994630
1427893	chr12	1005248	1005597	+	76	148	0.09	350	41.12	-3.69	0.09	NA	1005449
1427894	chr12	1005624	1005798	+	43	134	0.16	175	-4.36	-2.74	0.13	NA	1005698
1427895	chr12	1005827	1005899	+	21	54	0.43	73	10.43	-1.33	0.24	NA	1005898
1427968	chr12	1018371	1018417	+	16	58	0.41	47	-2.66	-0.9	0.28	NA	1018395
1427969	chr12	1018473	1018575	+	18	127	0.8	103	-27.03	0.51	0.64	NA	1018493
1427974	chr12	1018838	1019126	+	87	211	0.22	289	36.27	-3.52	0.14	NA	1019120
1427985	chr12	1020159	1020173	+	8	82	0.68	15	-1.67	0.23	0.41	NA	1020162
1428118	chr12	1189816	1189898	+	19	564	0.82	83	-5.92	0.84	0.73	NA	1189850
1428878	chr12	1798322	1798324	+	3	63	0.97	3	-0.95	1.77	0.85	NA	1798321
1428879	chr12	1800146	1800241	+	38	128	0.16	96	8.15	-2.52	0.14	NA	1800212
1429388	chr12	2904078	2904374	+	89	1393	0.54	297	-57.95	-1.26	0.5	NA	2904160
1429391	chr12	2905080	2905192	+	28	68	0.18	113	-4.96	-2.18	0.13	NA	2905121
1429403	chr12	2908251	2908382	+	32	134	0.38	132	6.59	-1.23	0.35	NA	2908323
1429429	chr12	2921775	2921924	+	60	475	0.12	150	-9.27	-2.64	0.21	NA	2921841
1429567	chr12	2986323	2986425	+	53	920	0.2	103	15.05	-2.25	0.26	NA	2986384
1429626	chr12	2998247	2998338	+	23	64	0.27	92	6.81	-1.92	0.13	NA	2998305
1429631	chr12	3000000	3000110	+	46	343	0.11	111	5.04	-2.48	0.19	NA	3000079
1430140	chr12	4207757	4207787	+	11	112	0.35	31	-10.87	-0.37	0.31	NA	4207757
1430145	chr12	4208227	4208312	+	16	57	0.3	86	9.61	-1.09	0.23	NA	4208283
1430150	chr12	4208627	4208664	+	12	161	0.51	38	-10.3	-0.25	0.37	NA	4208633
1430245	chr12	4378841	4379246	+	92	557	0.21	406	-56.22	-2.82	0.26	NA	4378978
1430256	chr12	4381392	4381464	+	14	103	0.76	73	-13.29	0.36	0.57	NA	4381409
1430258	chr12	4381671	4381792	+	33	81	0.12	122	0.22	-2.59	0.09	NA	4381741
1430265	chr12	4382299	4382431	+	34	102	0.16	133	-10.34	-2.37	0.14	NA	4382321
1430269	chr12	4382767	4383383	+	351	10926	0.17	617	-76.69	-3.19	0.39	NA	4382967
1430289	chr12	4385154	4385354	+	69	176	0.07	201	-8.39	-3.53	0.1	NA	4385169
1430302	chr12	4387919	4388055	+	57	350	0.29	137	3.25	-2.38	0.25	NA	4388027
1430356	chr12	4398000	4398177	+	49	192	0.19	178	-1.35	-2.64	0.17	NA	4398156
1430455	chr12	4408999	4409540	+	199	1474	0.12	542	30.64	-3.88	0.23	NA	4409502
1430456	chr12	4409573	4410052	+	175	2043	0.15	480	124.34	-3.22	0.3	NA	4409992
1430457	chr12	4410081	4410682	+	212	1964	0.1	602	51.8	-4.03	0.22	NA	4410174
1430458	chr12	4410716	4410941	+	63	238	0.11	226	-21.66	-3.14	0.14	NA	4410812
1430459	chr12	4410978	4411515	+	115	346	0.18	538	-76.99	-3.88	0.14	NA	4411075
1430460	chr12	4411541	4411614	+	23	66	0.14	74	4.45	-2.23	0.07	NA	4411598
1430463	chr12	4411762	4412313	+	191	551	0.06	552	-32.61	-4.88	0.09	NA	4411920
1430464	chr12	4412345	4413971	+	682	3653	0.05	1627	208.14	-6.38	0.11	NA	4413414
1430466	chr12	4414190	4414386	+	49	244	0.16	197	3.71	-2.44	0.21	NA	4414355
1430490	chr12	4430279	4430441	+	99	3429	0.15	163	25.19	-2.9	0.26	NA	4430382
1430648	chr12	4647932	4648095	+	61	802	0.2	164	31.29	-2.25	0.28	NA	4648071
1430793	chr12	4714001	4714195	+	78	474	0.3	195	-2.76	-2.7	0.25	NA	4714115
1430827	chr12	4758206	4758336	+	85	6784	0.31	131	3.09	-1.65	0.43	NA	4758271
1430861	chr12	4771696	4771777	+	31	88	0.26	82	-5.24	-2.17	0.16	NA	4771707
1430865	chr12	4777617	4777668	+	18	93	0.59	52	-3.93	-0.56	0.39	NA	4777631
1430878	chr12	4791360	4791423	+	14	54	0.56	64	-5	-0.52	0.34	NA	4791378
1430900	chr12	4796136	4796208	+	14	59	0.46	73	20.17	-0.81	0.26	NA	4796203
